low-bm,low-rf,hi-bm,hi-rf,run,type,low-fidelity,high-fidelity
0.2,0.6,0.34,0.64,1,together,86,0
0.2,0.6,0.34,0.64,2,together,94,0
0.2,0.6,0.34,0.64,3,together,78,0
0.2,0.6,0.34,0.64,4,together,84,0
0.2,0.6,0.34,0.64,5,together,104,0
0.2,0.6,0.34,0.64,6,together,85,0
0.2,0.6,0.34,0.64,7,together,93,0
0.2,0.6,0.34,0.64,8,together,98,0
0.2,0.6,0.34,0.64,9,together,94,0
0.2,0.6,0.34,0.64,10,together,96,0
0.2,0.6,0.34,0.64,11,together,89,0
0.2,0.6,0.34,0.64,12,together,94,0
0.2,0.6,0.34,0.64,13,together,93,0
0.2,0.6,0.34,0.64,14,together,81,0
0.2,0.6,0.34,0.64,15,together,105,0
0.2,0.6,0.34,0.64,16,together,91,0
0.2,0.6,0.34,0.64,17,together,90,0
0.2,0.6,0.34,0.64,18,together,93,0
0.2,0.6,0.34,0.64,19,together,104,0
0.2,0.6,0.21000000000000002,0.76,0,low-fidelity,107,0
0.2,0.6,0.21000000000000002,0.76,1,low-fidelity,94,0
0.2,0.6,0.21000000000000002,0.76,2,low-fidelity,97,0
0.2,0.6,0.21000000000000002,0.76,3,low-fidelity,107,0
0.2,0.6,0.21000000000000002,0.76,4,low-fidelity,90,0
0.2,0.6,0.21000000000000002,0.76,5,low-fidelity,91,0
0.2,0.6,0.21000000000000002,0.76,6,low-fidelity,77,0
0.2,0.6,0.21000000000000002,0.76,7,low-fidelity,90,0
0.2,0.6,0.21000000000000002,0.76,8,low-fidelity,102,0
0.2,0.6,0.21000000000000002,0.76,9,low-fidelity,98,0
0.2,0.6,0.21000000000000002,0.76,10,low-fidelity,103,0
0.2,0.6,0.21000000000000002,0.76,11,low-fidelity,87,0
0.2,0.6,0.21000000000000002,0.76,12,low-fidelity,103,0
0.2,0.6,0.21000000000000002,0.76,13,low-fidelity,93,0
0.2,0.6,0.21000000000000002,0.76,14,low-fidelity,112,0
0.2,0.6,0.21000000000000002,0.76,15,low-fidelity,97,0
0.2,0.6,0.21000000000000002,0.76,16,low-fidelity,99,0
0.2,0.6,0.21000000000000002,0.76,17,low-fidelity,96,0
0.2,0.6,0.21000000000000002,0.76,18,low-fidelity,84,0
0.2,0.6,0.21000000000000002,0.76,19,low-fidelity,102,0
0.2,0.6,0.21000000000000002,0.76,0,high-fidelity,0,123
0.2,0.6,0.21000000000000002,0.76,1,high-fidelity,0,119
0.2,0.6,0.21000000000000002,0.76,2,high-fidelity,0,128
0.2,0.6,0.21000000000000002,0.76,3,high-fidelity,0,123
0.2,0.6,0.21000000000000002,0.76,4,high-fidelity,0,130
0.2,0.6,0.21000000000000002,0.76,5,high-fidelity,0,112
0.2,0.6,0.21000000000000002,0.76,6,high-fidelity,0,124
0.2,0.6,0.21000000000000002,0.76,7,high-fidelity,0,123
0.2,0.6,0.21000000000000002,0.76,8,high-fidelity,0,103
0.2,0.6,0.21000000000000002,0.76,9,high-fidelity,0,124
0.2,0.6,0.21000000000000002,0.76,10,high-fidelity,0,117
0.2,0.6,0.21000000000000002,0.76,11,high-fidelity,0,118
0.2,0.6,0.21000000000000002,0.76,12,high-fidelity,0,125
0.2,0.6,0.21000000000000002,0.76,13,high-fidelity,0,121
0.2,0.6,0.21000000000000002,0.76,14,high-fidelity,0,126
0.2,0.6,0.21000000000000002,0.76,15,high-fidelity,0,132
0.2,0.6,0.21000000000000002,0.76,16,high-fidelity,0,120
0.2,0.6,0.21000000000000002,0.76,17,high-fidelity,0,132
0.2,0.6,0.21000000000000002,0.76,18,high-fidelity,0,123
0.2,0.6,0.21000000000000002,0.76,19,high-fidelity,0,128
0.2,0.6,0.21000000000000002,0.76,0,together,0,119
0.2,0.6,0.21000000000000002,0.76,1,together,0,118
0.2,0.6,0.21000000000000002,0.76,2,together,0,122
0.2,0.6,0.21000000000000002,0.76,3,together,0,118
0.2,0.6,0.21000000000000002,0.76,4,together,0,122
0.2,0.6,0.21000000000000002,0.76,5,together,0,124
0.2,0.6,0.21000000000000002,0.76,6,together,0,123
0.2,0.6,0.21000000000000002,0.76,7,together,0,124
0.2,0.6,0.21000000000000002,0.76,8,together,0,113
0.2,0.6,0.21000000000000002,0.76,9,together,0,124
0.2,0.6,0.21000000000000002,0.76,10,together,0,120
0.2,0.6,0.21000000000000002,0.76,11,together,0,120
0.2,0.6,0.21000000000000002,0.76,12,together,0,120
0.2,0.6,0.21000000000000002,0.76,13,together,0,127
0.2,0.6,0.21000000000000002,0.76,14,together,0,120
0.2,0.6,0.21000000000000002,0.76,15,together,0,119
0.2,0.6,0.21000000000000002,0.76,16,together,0,125
0.2,0.6,0.21000000000000002,0.76,17,together,0,131
0.2,0.6,0.21000000000000002,0.76,18,together,0,120
0.2,0.6,0.21000000000000002,0.76,19,together,0,123
0.2,0.6,0.35,0.77,0,low-fidelity,113,0
0.2,0.6,0.35,0.77,1,low-fidelity,92,0
0.2,0.6,0.35,0.77,2,low-fidelity,98,0
0.2,0.6,0.35,0.77,3,low-fidelity,77,0
0.2,0.6,0.35,0.77,4,low-fidelity,99,0
0.2,0.6,0.35,0.77,5,low-fidelity,109,0
0.2,0.6,0.35,0.77,6,low-fidelity,108,0
0.2,0.6,0.35,0.77,7,low-fidelity,86,0
0.2,0.6,0.35,0.77,8,low-fidelity,88,0
0.2,0.6,0.35,0.77,9,low-fidelity,106,0
0.2,0.6,0.35,0.77,10,low-fidelity,106,0
0.2,0.6,0.35,0.77,11,low-fidelity,102,0
0.2,0.6,0.35,0.77,12,low-fidelity,87,0
0.2,0.6,0.35,0.77,13,low-fidelity,95,0
0.2,0.6,0.35,0.77,14,low-fidelity,82,0
0.2,0.6,0.35,0.77,15,low-fidelity,100,0
0.2,0.6,0.35,0.77,16,low-fidelity,107,0
0.2,0.6,0.35,0.77,17,low-fidelity,85,0
0.2,0.6,0.35,0.77,18,low-fidelity,82,0
0.2,0.6,0.35,0.77,19,low-fidelity,101,0
0.2,0.6,0.35,0.77,0,high-fidelity,0,85
0.2,0.6,0.35,0.77,1,high-fidelity,0,73
0.2,0.6,0.35,0.77,2,high-fidelity,0,74
0.2,0.6,0.35,0.77,3,high-fidelity,0,74
0.2,0.6,0.35,0.77,4,high-fidelity,0,78
0.2,0.6,0.35,0.77,5,high-fidelity,0,83
0.2,0.6,0.35,0.77,6,high-fidelity,0,80
0.2,0.6,0.35,0.77,7,high-fidelity,0,77
0.2,0.6,0.35,0.77,8,high-fidelity,0,78
0.2,0.6,0.35,0.77,9,high-fidelity,0,73
0.2,0.6,0.35,0.77,10,high-fidelity,0,69
0.2,0.6,0.35,0.77,11,high-fidelity,0,82
0.2,0.6,0.35,0.77,12,high-fidelity,0,89
0.2,0.6,0.35,0.77,13,high-fidelity,0,79
0.2,0.6,0.35,0.77,14,high-fidelity,0,73
0.2,0.6,0.35,0.77,15,high-fidelity,0,79
0.2,0.6,0.35,0.77,16,high-fidelity,0,78
0.2,0.6,0.35,0.77,17,high-fidelity,0,76
0.2,0.6,0.35,0.77,18,high-fidelity,0,71
0.2,0.6,0.35,0.77,19,high-fidelity,0,73
0.2,0.6,0.35,0.77,0,together,113,0
0.2,0.6,0.35,0.77,1,together,98,0
0.2,0.6,0.35,0.77,2,together,97,0
0.2,0.6,0.35,0.77,3,together,107,0
0.2,0.6,0.35,0.77,4,together,101,0
0.2,0.6,0.35,0.77,5,together,90,0
0.2,0.6,0.35,0.77,6,together,96,0
0.2,0.6,0.35,0.77,7,together,96,0
0.2,0.6,0.35,0.77,8,together,94,0
0.2,0.6,0.35,0.77,9,together,85,0
0.2,0.6,0.35,0.77,10,together,94,0
0.2,0.6,0.35,0.77,11,together,96,0
0.2,0.6,0.35,0.77,12,together,81,0
0.2,0.6,0.35,0.77,13,together,91,0
0.2,0.6,0.35,0.77,14,together,107,0
0.2,0.6,0.35,0.77,15,together,95,0
0.2,0.6,0.35,0.77,16,together,97,0
0.2,0.6,0.35,0.77,17,together,89,0
0.2,0.6,0.35,0.77,18,together,91,0
0.2,0.6,0.35,0.77,19,together,106,0
0.2,0.6,0.26,0.6699999999999999,0,low-fidelity,84,0
0.2,0.6,0.26,0.6699999999999999,1,low-fidelity,96,0
0.2,0.6,0.26,0.6699999999999999,2,low-fidelity,109,0
0.2,0.6,0.26,0.6699999999999999,3,low-fidelity,91,0
0.2,0.6,0.26,0.6699999999999999,4,low-fidelity,83,0
0.2,0.6,0.26,0.6699999999999999,5,low-fidelity,77,0
0.2,0.6,0.26,0.6699999999999999,6,low-fidelity,68,0
0.2,0.6,0.26,0.6699999999999999,7,low-fidelity,93,0
0.2,0.6,0.26,0.6699999999999999,8,low-fidelity,75,0
0.2,0.6,0.26,0.6699999999999999,9,low-fidelity,112,0
0.2,0.6,0.26,0.6699999999999999,10,low-fidelity,87,0
0.2,0.6,0.26,0.6699999999999999,11,low-fidelity,120,0
0.2,0.6,0.26,0.6699999999999999,12,low-fidelity,87,0
0.2,0.6,0.26,0.6699999999999999,13,low-fidelity,84,0
0.2,0.6,0.26,0.6699999999999999,14,low-fidelity,72,0
0.2,0.6,0.26,0.6699999999999999,15,low-fidelity,86,0
0.2,0.6,0.26,0.6699999999999999,16,low-fidelity,75,0
0.2,0.6,0.26,0.6699999999999999,17,low-fidelity,90,0
0.2,0.6,0.26,0.6699999999999999,18,low-fidelity,87,0
0.2,0.6,0.26,0.6699999999999999,19,low-fidelity,80,0
0.2,0.6,0.26,0.6699999999999999,0,high-fidelity,0,76
0.2,0.6,0.26,0.6699999999999999,1,high-fidelity,0,89
0.2,0.6,0.26,0.6699999999999999,2,high-fidelity,0,98
0.2,0.6,0.26,0.6699999999999999,3,high-fidelity,0,99
0.2,0.6,0.26,0.6699999999999999,4,high-fidelity,0,88
0.2,0.6,0.26,0.6699999999999999,5,high-fidelity,0,90
0.2,0.6,0.26,0.6699999999999999,6,high-fidelity,0,95
0.2,0.6,0.26,0.6699999999999999,7,high-fidelity,0,92
0.2,0.6,0.26,0.6699999999999999,8,high-fidelity,0,101
0.2,0.6,0.26,0.6699999999999999,9,high-fidelity,0,90
0.2,0.6,0.26,0.6699999999999999,10,high-fidelity,0,89
0.2,0.6,0.26,0.6699999999999999,11,high-fidelity,0,85
0.2,0.6,0.26,0.6699999999999999,12,high-fidelity,0,86
0.2,0.6,0.26,0.6699999999999999,13,high-fidelity,0,89
0.2,0.6,0.26,0.6699999999999999,14,high-fidelity,0,92
0.2,0.6,0.26,0.6699999999999999,15,high-fidelity,0,75
0.2,0.6,0.26,0.6699999999999999,16,high-fidelity,0,87
0.2,0.6,0.26,0.6699999999999999,17,high-fidelity,0,92
0.2,0.6,0.26,0.6699999999999999,18,high-fidelity,0,94
0.2,0.6,0.26,0.6699999999999999,19,high-fidelity,0,90
0.2,0.6,0.26,0.6699999999999999,0,together,93,0
0.2,0.6,0.26,0.6699999999999999,1,together,96,0
0.2,0.6,0.26,0.6699999999999999,2,together,76,0
0.2,0.6,0.26,0.6699999999999999,3,together,107,0
0.2,0.6,0.26,0.6699999999999999,4,together,82,0
0.2,0.6,0.26,0.6699999999999999,5,together,111,0
0.2,0.6,0.26,0.6699999999999999,6,together,100,0
0.2,0.6,0.26,0.6699999999999999,7,together,100,0
0.2,0.6,0.26,0.6699999999999999,8,together,108,0
0.2,0.6,0.26,0.6699999999999999,9,together,98,0
0.2,0.6,0.26,0.6699999999999999,10,together,86,0
0.2,0.6,0.26,0.6699999999999999,11,together,93,0
0.2,0.6,0.26,0.6699999999999999,12,together,86,0
0.2,0.6,0.26,0.6699999999999999,13,together,108,0
0.2,0.6,0.26,0.6699999999999999,14,together,94,0
0.2,0.6,0.26,0.6699999999999999,15,together,0,85
0.2,0.6,0.26,0.6699999999999999,16,together,106,0
0.2,0.6,0.26,0.6699999999999999,17,together,80,0
0.2,0.6,0.26,0.6699999999999999,18,together,103,0
0.2,0.6,0.26,0.6699999999999999,19,together,96,0
0.2,0.6,0.32,0.6599999999999999,0,low-fidelity,102,0
0.2,0.6,0.32,0.6599999999999999,1,low-fidelity,102,0
